nome;cpf;sexo;data_nasc;telefone;email;;;;;
Bruno Ferreira;204.739.663-96;M;1945-01-01;(74)6943-8217;bruno_ferreira@locamail.com;;;;;
Antônia Cavalcante;472.893.869-83;F;1992-03-12;(25)3163-1123;antônia_cavalcante@locamail.com;;;;;
Edson de Lima;438.361.213-99;M;1977-01-12;(74)2000-5023;edson_de_lima@locamail.com;;;;;
Bruno de Brito;054.367.119-78;M;2003-10-10;(26)3558-7309;bruno_de_brito@locamail.com;;;;;
Alexandre França;070.104.145-28;F;1986-10-27;(36)4261-9150;alexandre_frança@locamail.com;;;;;
Diogo Pires;250.674.455-81;M;1954-03-18;(66)1986-2238;diogo_pires@locamail.com;;;;;
Paula dos Reis;589.322.414-09;F;1951-10-12;(04)1650-9352;paula_dos_reis@locamail.com;;;;;
Lucas Tavares;477.995.227-98;M;1970-03-07;(95)8916-2317;lucas_tavares@locamail.com;;;;;
Fábio Correia;140.564.182-89;F;1970-09-07;(89)8512-4422;fábio_correia@locamail.com;;;;;
Paula Amorim;949.746.311-21;M;2002-02-07;(28)3234-4979;paula_amorim@locamail.com;;;;;
Isadora Nogueira;427.740.803-44;M;1958-04-20;(18)1770-8570;isadora_nogueira@locamail.com;;;;;
Heitor Santana;441.774.481-90;F;1993-09-22;(93)4088-9806;heitor_santana@locamail.com;;;;;
Cláudio da Rocha;603.451.587-67;F;1994-11-29;(15)2002-6625;cláudio_da_rocha@locamail.com;;;;;
Milena dos Reis;662.837.166-24;M;1968-10-12;(31)7410-8793;milena_dos_reis@locamail.com;;;;;
Edna Rodrigues;138.975.979-82;F;1984-03-03;(12)9210-8147;edna_rodrigues@locamail.com;;;;;
Raimunda de Melo;866.868.504-82;M;1999-03-24;(09)6284-8040;raimunda_de_melo@locamail.com;;;;;
Janaína Queiroz;357.772.821-03;F;1967-03-10;(48)2081-2625;janaína_queiroz@locamail.com;;;;;
Gabriela Gonçalves;591.574.348-00;M;1951-07-23;(83)3470-7413;gabriela_gonçalves@locamail.com;;;;;
Érica de Paula;017.974.049-55;F;1966-06-16;(71)4661-3275;érica_de_paula@locamail.com;;;;;
Renata Rodrigues;845.569.301-73;M;1956-10-22;(09)8134-4543;renata_rodrigues@locamail.com;;;;;
Luciano Xavier;387.358.131-27;F;2003-05-07;(56)0902-0927;luciano_xavier@locamail.com;;;;;
Rafael Correia;590.690.450-41;M;1952-09-08;(98)1062-1352;rafael_correia@locamail.com;;;;;
Edson Corrêa;846.845.740-14;F;1961-03-15;(92)3337-3491;edson_corrêa@locamail.com;;;;;
Leandro Machado;100.111.314-35;F;1958-01-20;(12)8546-1852;leandro_machado@locamail.com;;;;;
Edson Cavalcante;001.026.338-22;M;1968-08-24;(64)8904-9456;edson_cavalcante@locamail.com;;;;;
Caroline das Neves;322.702.238-64;M;2001-07-08;(05)3771-0408;caroline_das_neves@locamail.com;;;;;
Lúzia Moreira;127.131.438-49;F;1972-02-15;(35)7079-0990;lúzia_moreira@locamail.com;;;;;
Joana Batista;692.306.168-45;M;1963-01-22;(60)1339-6434;joana_batista@locamail.com;;;;;
Daniele Alves;559.597.670-48;M;1984-12-01;(82)4765-3196;daniele_alves@locamail.com;;;;;
Camila Santana;168.481.900-96;F;1952-09-25;(99)9270-5009;camila_santana@locamail.com;;;;;
Bernardo Filho;479.904.674-29;M;1995-12-17;(18)4441-2202;bernardo_filho@locamail.com;;;;;
Thiago dos Santos;396.357.025-41;F;1948-05-24;(28)1916-8049;thiago_dos_santos@locamail.com;;;;;
Anderson Aparecida;188.289.548-59;M;1962-11-11;(03)4590-9098;anderson_aparecida@locamail.com;;;;;
Marina Silveira;736.866.646-44;F;1970-05-20;(28)7666-4425;marina_silveira@locamail.com;;;;;
Patrícia Nogueira;987.075.500-03;M;1947-03-29;(68)5979-3929;patrícia_nogueira@locamail.com;;;;;
Letícia de Paula;526.121.590-53;M;1950-11-16;(31)5866-5804;letícia_de_paula@locamail.com;;;;;
Érica Amaral;066.862.304-66;F;1971-04-15;(48)6501-7222;érica_amaral@locamail.com;;;;;
Amanda Braga;869.175.351-84;F;1957-04-26;(97)9296-6762;amanda_braga@locamail.com;;;;;
Emerson Nogueira;606.098.410-01;M;1946-03-28;(93)3874-4584;emerson_nogueira@locamail.com;;;;;
Maurício Batista;904.068.953-31;F;1959-01-06;(75)0062-0735;maurício_batista@locamail.com;;;;;
Jéssica Fernandes;069.821.779-95;M;1977-06-27;(48)3310-2168;jéssica_fernandes@locamail.com;;;;;
Sofia de Brito;478.686.945-77;F;1954-01-02;(22)6368-3571;sofia_de_brito@locamail.com;;;;;
Lívia de Almeida;897.433.023-43;M;1970-03-30;(10)2570-5037;lívia_de_almeida@locamail.com;;;;;
Carla Ribeiro;928.283.660-62;F;1953-05-06;(30)3298-5856;carla_ribeiro@locamail.com;;;;;
Jean Bezerra;527.147.148-34;M;1950-11-04;(63)0753-8883;jean_bezerra@locamail.com;;;;;
Sérgio Aguiar;609.559.733-68;F;1994-11-29;(85)9565-9528;sérgio_aguiar@locamail.com;;;;;
Renan Bezerra;860.968.371-67;M;1962-10-18;(02)4225-9836;renan_bezerra@locamail.com;;;;;
Cristiano Macedo;660.337.272-98;F;1986-02-11;(30)3894-8220;cristiano_macedo@locamail.com;;;;;
Valdir de Araújo;486.883.301-95;F;1963-12-23;(15)6739-7121;valdir_de_araújo@locamail.com;;;;;
Antônia Xavier;438.632.379-64;M;1980-11-21;(00)7392-8430;antônia_xavier@locamail.com;;;;;
Flávia Campos;965.288.505-06;M;1987-04-08;(85)0634-0126;flávia_campos@locamail.com;;;;;
Sérgio França;057.120.229-43;F;1953-08-15;(70)2130-0269;sérgio_frança@locamail.com;;;;;
Heitor da Costa;020.461.526-10;M;1989-01-07;(35)1332-8565;heitor_da_costa@locamail.com;;;;;
Rafael Henrique;306.497.062-34;M;1961-09-18;(40)6627-2286;rafael_henrique@locamail.com;;;;;
Wilson Dias;496.856.335-32;F;1983-12-13;(99)1350-9874;wilson_dias@locamail.com;;;;;
Benedito de Barros;512.264.407-52;M;1979-04-09;(84)3201-4945;benedito_de_barros@locamail.com;;;;;
Tatiane Nogueira;803.927.962-93;F;1995-01-25;(58)7772-8213;tatiane_nogueira@locamail.com;;;;;
Sophia dos Santos;648.954.910-16;M;1989-10-21;(44)0042-3264;sophia_dos_santos@locamail.com;;;;;
Helena Batista;783.840.731-21;F;1957-11-24;(64)8658-6523;helena_batista@locamail.com;;;;;
Raimundo de Lima;994.204.871-17;M;2003-09-16;(74)7714-8016;raimundo_de_lima@locamail.com;;;;;
Maurício Nogueira;591.458.563-97;M;1990-05-30;(89)8895-1568;maurício_nogueira@locamail.com;;;;;
Daniel Batista;367.970.178-61;F;1955-12-08;(55)3649-3811;daniel_batista@locamail.com;;;;;
Fabrício Nunes;498.278.162-65;F;1975-01-27;(74)0810-0011;fabrício_nunes@locamail.com;;;;;
Fernando Monteiro;074.605.929-27;M;1952-05-07;(70)5657-0933;fernando_monteiro@locamail.com;;;;;
Rodrigo dos Santos;498.440.730-69;F;1971-08-18;(30)1340-3242;rodrigo_dos_santos@locamail.com;;;;;
Geovana Pereira;941.422.184-76;M;1971-09-18;(71)5896-1406;geovana_pereira@locamail.com;;;;;
